"Source:","C:\Users\Florian\Documents\dev\stomp\fuzz_factory_mod\cad\fuzz_factory_mod\fuzz_factory_mod.sch"
"Date:","13/06/2020 12:42:10"
"Tool:","Eeschema (5.1.4)-1"
"Generator:","C:\dev\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","376"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Supplier reference"
"","","C201","1u","Device:C","Capacitors_SMD:C_0805","~",""
"","","C202","10n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C203","4u7","Device:C","Capacitors_SMD:C_1206","~",""
"","","C204","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C205","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C206","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C207","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C208","10n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C209","1u","Device:C","Capacitors_SMD:C_0805","~",""
"","","C210","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C211","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C212","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C301","10n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C302","47p","Device:C","Capacitors_SMD:C_0603","~",""
"","","C303","4u7","Device:CP","Capacitors_SMD:CP_Elec_6.3x4.5","~",""
"","","C304","47p","Device:C","Capacitors_SMD:C_0603","~",""
"","","C305","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C306","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C401","47p","Device:C","Capacitors_SMD:C_0603","~",""
"","","C402","47p","Device:C","Capacitors_SMD:C_0603","~",""
"","","C501","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C601","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C602","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C603","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C604","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C605","10u","Device:CP","Capacitors_SMD:CP_Elec_6.3x4.5","~",""
"","","C606","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C607","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C608","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C609","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C701","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C702","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C801","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C802","100p","Device:C","Capacitors_SMD:C_0603","~",""
"","","C803","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C907","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1101","1u","Device:C","Capacitors_SMD:C_0805","~",""
"","","C1102","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1103","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1104","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1105","220n","Device:C","Capacitors_SMD:C_0805","~",""
"","","C1106","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1107","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1108","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1109","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1110","100n","Device:C","Capacitors_SMD:C_0603","",""
"","","C1111","100n","Device:C","Capacitors_SMD:C_0603","",""
"","","C1201","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1202","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1203","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1204","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1205","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1206","100n","Device:C","Capacitors_SMD:C_0603","",""
"","","C1207","100n","Device:C","Capacitors_SMD:C_0603","",""
"","","C1301","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1302","100p","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1303","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1304","100n","Device:C","Capacitors_SMD:C_0603","",""
"","","C1305","100n","Device:C","Capacitors_SMD:C_0603","",""
"","","C1501","1u","Device:C","Capacitors_SMD:C_0805","~",""
"","","C1502","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1503","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1504","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1505","220n","Device:C","Capacitors_SMD:C_0805","~",""
"","","C1506","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1507","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1508","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1509","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1607","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1608","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1609","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1610","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1611","10u","Device:CP","Capacitors_SMD:CP_Elec_6.3x4.5","~",""
"","","C1612","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1613","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1614","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1615","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1701","47u","Device:CP","Capacitors_SMD:CP_Elec_6.3x4.5","~",""
"","","C1702","1u","Device:C","Capacitors_SMD:C_0805","~",""
"","","C1703","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1704","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1705","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1706","220n","Device:C","Capacitors_SMD:C_0805","~",""
"","","C1707","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1708","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1709","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1710","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1805","1u","Device:C","Capacitors_SMD:C_0805","~",""
"","","C1806","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1807","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1808","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1809","220n","Device:C","Capacitors_SMD:C_0805","~",""
"","","C1810","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1811","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1812","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1813","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1901","100p","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1905","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1906","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1907","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1908","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1909","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C2201","100uF/25V","Device:CP","Capacitors_SMD:CP_Elec_6.3x4.5","~",""
"","","C2202","100uF/25V","Device:CP","Capacitors_SMD:CP_Elec_6.3x4.5","~",""
"","","C2203","100nF","Device:C","Capacitors_SMD:C_0603","~",""
"","","C2204","100uF/25V","Device:CP","Capacitors_SMD:CP_Elec_6.3x4.5","~",""
"","","C2205","100nF","Device:C","Capacitors_SMD:C_0603","~",""
"","","C2206","100uF/25V","Device:CP","Capacitors_SMD:CP_Elec_6.3x4.5","~",""
"","","C2207","10nF","Device:C","Capacitors_SMD:C_0603","~",""
"","","C2208","100uF/25V","Device:CP","Capacitors_SMD:CP_Elec_6.3x4.5","~",""
"","","C2209","100nF","Device:C","Capacitors_SMD:C_0603","~",""
"","","C2210","100p","Device:C","Capacitors_SMD:C_0603","~",""
"","","C2501","100p","Device:C","Capacitors_SMD:C_0603","~",""
"","","C2601","100p","Device:C","Capacitors_SMD:C_0603","~",""
"","","D901","BAT54A","Diode:BAT54A","TO_SOT_Packages_SMD:SOT-23","http://www.diodes.com/_files/datasheets/ds11005.pdf",""
"","","D1101","BAV23S","flax_lib:BAV23S","TO_SOT_Packages_SMD:SOT-23","",""
"","","D1102","BZX84Cxx","Diode:BZX84Cxx","Diodes_SMD:D_SOT-23_ANK","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzx84c2v4.pdf",""
"","","D1501","BAV23S","flax_lib:BAV23S","TO_SOT_Packages_SMD:SOT-23","",""
"","","D1502","BZX84Cxx","Diode:BZX84Cxx","Diodes_SMD:D_SOT-23_ANK","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzx84c2v4.pdf",""
"","","D1701","BAV23S","flax_lib:BAV23S","TO_SOT_Packages_SMD:SOT-23","",""
"","","D1702","BAV23S","flax_lib:BAV23S","TO_SOT_Packages_SMD:SOT-23","",""
"","","D1703","BZX84Cxx","Diode:BZX84Cxx","Diodes_SMD:D_SOT-23_ANK","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzx84c2v4.pdf",""
"","","D1801","BAV23S","flax_lib:BAV23S","TO_SOT_Packages_SMD:SOT-23","",""
"","","D1802","BZX84Cxx","Diode:BZX84Cxx","Diodes_SMD:D_SOT-23_ANK","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzx84c2v4.pdf",""
"","","D2201","BAS3010B","flax_lib:BAS3010B","Diodes_SMD:D_SOD-323","",""
"","","J101","Conn_interface_1","Connector:Conn_01x16_Female","Pin_Headers:Pin_Header_Straight_1x16_Pitch2.54mm_SMD_Pin1Left","~",""
"","","J102","Conn_interface_2","Connector:Conn_01x16_Female","Pin_Headers:Pin_Header_Straight_1x16_Pitch2.54mm_SMD_Pin1Left","~",""
"","","J201","Conn_MCU_SWD","Connector:Conn_01x07_Male","Pin_Headers:Pin_Header_Straight_1x07_Pitch2.54mm","~",""
"","","J301","USB_B_Micro","Connector:USB_B_Micro","Connect:USB_Micro-B","~",""
"","","J401","USB_B_Micro","Connector:USB_B_Micro","Connect:USB_Micro-B","~",""
"","","J901","CONN_MIDI_IN","Connector:DIN-5_180degree","flax_lib:DIN5_through_hole","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf",""
"","","J902","CONN_MIDI_THRU","Connector:DIN-5_180degree","flax_lib:DIN5_through_hole","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf",""
"","","J903","CONN_MIDI_OUT","Connector:DIN-5_180degree","flax_lib:DIN5_through_hole","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf",""
"","","J1301","Conn_analog_1","Connector:Conn_01x06_Female","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm","~",""
"","","J1302","Conn_analog_2","Connector:Conn_01x06_Female","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm","~",""
"","","J1701","Barrel_Jack_Switch","Connector:Barrel_Jack_Switch","Connect:JACK_ALIM","~",""
"","","J1702","Conn_Battery","Connector:Conn_01x02_Female","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~",""
"","","J1703","CONN_AUDIO_IN","flax_lib:CLIFF_FCR50051","flax_lib:CLIFF_FCR5005x","",""
"","","J1704","CONN_AUDIO_OUT","flax_lib:CLIFF_FCR50051","flax_lib:CLIFF_FCR5005x","",""
"","","J2801","CONN_AUDIO_OUT_REF","flax_lib:CLIFF_FCR50051","flax_lib:CLIFF_FCR5005x","",""
"","","J2802","CONN_EXP_1","flax_lib:CLIFF_FCR50051","flax_lib:CLIFF_FCR5005x","",""
"","","J2803","CONN_EXP_2","flax_lib:CLIFF_FCR50051","flax_lib:CLIFF_FCR5005x","",""
"","","K1701","EE2-5NU","flax_lib:EE2-5NU","flax_lib:RELAY-EE2","",""
"","","L201","BLMxxx","Device:L","Capacitors_SMD:C_0603","~",""
"","","L301","L_Core_Ferrite_Small","Device:L_Core_Ferrite_Small","Capacitors_SMD:C_0603","~",""
"","","L2201","100u","flax_lib:SLF7045T-221MR33-PF","flax_lib:L_TDK_SLF7045","","SLF7045T-221MR33-PF"
"","","L2202","100u","flax_lib:SLF7045T-221MR33-PF","flax_lib:L_TDK_SLF7045","","SLF7045T-221MR33-PF"
"","","NT101","Net-Tie_2","Device:Net-Tie_2","Oddities:NetTie-II","~",""
"","","NT102","Net-Tie_2","Device:Net-Tie_2","Oddities:NetTie-II","~",""
"","","NT1701","Net-Tie_2","Device:Net-Tie_2","Oddities:NetTie-II","~",""
"","","Q601","DTA123Y","Transistor_BJT:DTA123Y","TO_SOT_Packages_SMD:SOT-23","",""
"","","Q602","DTA123Y","Transistor_BJT:DTA123Y","TO_SOT_Packages_SMD:SOT-23","",""
"","","Q603","DTA123Y","Transistor_BJT:DTA123Y","TO_SOT_Packages_SMD:SOT-23","",""
"","","Q604","DTA123Y","Transistor_BJT:DTA123Y","TO_SOT_Packages_SMD:SOT-23","",""
"","","Q801","MMDT3904","Transistor_BJT:MMDT3904","TO_SOT_Packages_SMD:SOT-363_SC-70-6","http://www.diodes.com/_files/datasheets/ds30088.pdf",""
"","","Q802","MMDT3904","Transistor_BJT:MMDT3904","TO_SOT_Packages_SMD:SOT-363_SC-70-6","http://www.diodes.com/_files/datasheets/ds30088.pdf",""
"","","Q1301","MMDT3904","Transistor_BJT:MMDT3904","TO_SOT_Packages_SMD:SOT-363_SC-70-6","http://www.diodes.com/_files/datasheets/ds30088.pdf",""
"","","Q1302","MMDT3904","Transistor_BJT:MMDT3904","TO_SOT_Packages_SMD:SOT-363_SC-70-6","http://www.diodes.com/_files/datasheets/ds30088.pdf",""
"","","Q1602","DTA123Y","Transistor_BJT:DTA123Y","TO_SOT_Packages_SMD:SOT-23","",""
"","","Q1603","DTA123Y","Transistor_BJT:DTA123Y","TO_SOT_Packages_SMD:SOT-23","",""
"","","Q1604","DTA123Y","Transistor_BJT:DTA123Y","TO_SOT_Packages_SMD:SOT-23","",""
"","","Q1605","DTA123Y","Transistor_BJT:DTA123Y","TO_SOT_Packages_SMD:SOT-23","",""
"","","Q1701","DTC114Y","Transistor_BJT:DTC114Y","TO_SOT_Packages_SMD:SOT-23","",""
"","","Q1702","DTA114E","Transistor_BJT:DTA114E","TO_SOT_Packages_SMD:SOT-23","",""
"","","Q2201","BCP51","Transistor_BJT:BCP51","TO_SOT_Packages_SMD:SOT-223","http://www.fairchildsemi.com/ds/BC/BCP51.pdf",""
"","","R201","10k","Device:R_Small","Resistors_SMD:R_0603","~",""
"","","R202","390","Device:R_Small","Resistors_SMD:R_0603","~",""
"","","R203","1M","Device:R_Small","Resistors_SMD:R_0603","~",""
"","","R204","0","Device:R_Small","Resistors_SMD:R_0603","~",""
"","","R301","27","Device:R","Resistors_SMD:R_0603","~",""
"","","R302","27","Device:R","Resistors_SMD:R_0603","~",""
"","","R303","27","Device:R","Resistors_SMD:R_0603","~",""
"","","R304","27","Device:R","Resistors_SMD:R_0603","~",""
"","","R401","27","Device:R","Resistors_SMD:R_0603","~",""
"","","R402","27","Device:R","Resistors_SMD:R_0603","~",""
"","","R501","0","Device:R","Resistors_SMD:R_0603","~",""
"","","R502","0","Device:R","Resistors_SMD:R_0603","~",""
"","","R503","0","Device:R","Resistors_SMD:R_0603","~",""
"","","R504","0","Device:R","Resistors_SMD:R_0603","~",""
"","","R505","0","Device:R","Resistors_SMD:R_0603","~",""
"","","R506","0","Device:R","Resistors_SMD:R_0603","~",""
"","","R508","0","Device:R","Resistors_SMD:R_0603","~",""
"","","R509","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R601","4k7","Device:R","Resistors_SMD:R_0603","~",""
"","","R602","4k7","Device:R","Resistors_SMD:R_0603","~",""
"","","R603","4k7","Device:R","Resistors_SMD:R_0603","~",""
"","","R604","4k7","Device:R","Resistors_SMD:R_0603","~",""
"","","R605","0","Device:R","Resistors_SMD:R_0603","~",""
"","","R606","0","Device:R","Resistors_SMD:R_0603","~",""
"","","R607","1M","Device:R","Resistors_SMD:R_0603","~",""
"","","R608","1M","Device:R","Resistors_SMD:R_0603","~",""
"","","R609","3k9","Device:R","Resistors_SMD:R_0603","~",""
"","","R610","3k9","Device:R","Resistors_SMD:R_0603","~",""
"","","R611","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R612","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R613","0","Device:R","Resistors_SMD:R_0603","~",""
"","","R614","0","Device:R","Resistors_SMD:R_0603","~",""
"","","R615","0","Device:R","Resistors_SMD:R_0603","~",""
"","","R616","0","Device:R","Resistors_SMD:R_0603","~",""
"","","R801","1M","Device:R","Resistors_SMD:R_0603","~",""
"","","R802","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R803","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R804","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R805","330","Device:R","Resistors_SMD:R_0603","~",""
"","","R806","330","Device:R","Resistors_SMD:R_0603","~",""
"","","R807","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R808","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R809","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R810","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R811","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R812","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R813","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R917","220","Device:R","Resistors_SMD:R_0805","~",""
"","","R918","4k7","Device:R","Resistors_SMD:R_0603","~",""
"","","R919","100","Device:R","Resistors_SMD:R_0603","~",""
"","","R920","220","Device:R","Resistors_SMD:R_0805","~",""
"","","R921","220","Device:R","Resistors_SMD:R_0805","~",""
"","","R922","220","Device:R","Resistors_SMD:R_0805","~",""
"","","R923","220","Device:R","Resistors_SMD:R_0805","~",""
"","","R1101","1k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1102","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1103","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1104","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1105","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1106","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1107","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1108","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1109","10k","Device:R","Resistors_SMD:R_0805","~",""
"","","R1110","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1111","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1112","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1113","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1114","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1115","100","Device:R","Resistors_SMD:R_0603","",""
"","","R1116","10k","Device:R","Resistors_SMD:R_0603","",""
"","","R1201","4k7","Device:R","Resistors_SMD:R_0603","~",""
"","","R1202","4k7","Device:R","Resistors_SMD:R_0603","~",""
"","","R1203","4k7","Device:R","Resistors_SMD:R_0603","~",""
"","","R1204","4k7","Device:R","Resistors_SMD:R_0603","~",""
"","","R1205","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1206","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1207","1k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1208","1k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1209","100","Device:R","Resistors_SMD:R_0603","",""
"","","R1210","10k","Device:R","Resistors_SMD:R_0603","",""
"","","R1301","1M","Device:R","Resistors_SMD:R_0603","~",""
"","","R1302","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1303","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1304","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1305","330","Device:R","Resistors_SMD:R_0603","~",""
"","","R1306","330","Device:R","Resistors_SMD:R_0603","~",""
"","","R1307","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1308","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1309","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1310","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1311","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1312","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1313","10k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1314","100","Device:R","Resistors_SMD:R_0603","",""
"","","R1315","10k","Device:R","Resistors_SMD:R_0603","",""
"","","R1501","1k","Device:R","Resistors_SMD:R_0603","~",""
